locus_tag	gene_name	start_site	end_site	gene_length
non_coding_1	region	1	189	189
non_coding_2	region	256	337	82
non_coding_3	region	2800	2801	1
non_coding_4	region	3733	3734	1
non_coding_5	region	5021	5234	214
non_coding_6	region	5531	5683	153
non_coding_7	region	6460	6529	70
non_coding_8	region	7960	8238	279
non_coding_9	region	9192	9306	115
non_coding_10	region	9894	10494	601
non_coding_11	region	9929	10643	715
non_coding_13	region	11316	11382	67
non_coding_14	region	11787	12163	377
non_coding_15	region	14080	14168	89
non_coding_16	region	15299	15445	147
non_coding_17	region	16558	16751	194
non_coding_19	region	16904	16952	49
non_coding_20	region	17011	17489	479
non_coding_21	region	18656	18715	60
non_coding_22	region	19621	19811	191
non_coding_24	region	20509	20815	307
non_coding_25	region	21079	21181	103
non_coding_26	region	21400	21407	8
non_coding_27	region	22349	22391	43
non_coding_28	region	25208	25207	0
non_coding_29	region	25702	25826	125
non_coding_30	region	26276	26277	2
non_coding_31	region	27228	27293	66
non_coding_32	region	28208	28374	167
non_coding_33	region	29196	29651	456
non_coding_34	region	30800	30817	18
non_coding_35	region	34039	34300	262
non_coding_36	region	34696	34781	86
non_coding_37	region	35372	35377	6
non_coding_38	region	36163	36271	109
non_coding_39	region	37825	37898	74
non_coding_40	region	39116	39244	129
non_coding_41	region	40387	40417	31
non_coding_42	region	41932	42403	472
non_coding_43	region	43174	43188	15
non_coding_44	region	44130	44180	51
non_coding_46	region	45751	45807	57
non_coding_47	region	47139	47246	108
non_coding_49	region	49632	49823	192
non_coding_50	region	50303	50380	78
non_coding_51	region	51223	51229	7
non_coding_52	region	51607	51609	3
non_coding_54	region	53417	53416	0
non_coding_55	region	54703	54755	53
non_coding_56	region	57110	57364	255
non_coding_57	region	58180	58474	295
non_coding_59	region	59280	59687	408
non_coding_60	region	60347	60358	12
non_coding_61	region	63265	63429	165
non_coding_62	region	65781	65855	75
non_coding_63	region	66551	66835	285
non_coding_64	region	68338	68348	11
non_coding_65	region	70049	70387	339
non_coding_66	region	71266	71351	86
non_coding_67	region	72116	72229	114
non_coding_70	region	75481	75516	36
non_coding_71	region	75609	75644	36
non_coding_72	region	77300	77367	68
non_coding_74	region	77520	77621	102
non_coding_75	region	78800	78848	49
non_coding_76	region	79454	79464	11
non_coding_77	region	80865	80867	3
non_coding_78	region	81959	81958	0
non_coding_79	region	83530	83622	93
non_coding_80	region	83709	84368	660
non_coding_81	region	85313	85467	155
non_coding_82	region	85512	85630	119
non_coding_83	region	87355	87357	3
non_coding_84	region	87849	88028	180
non_coding_85	region	89033	89634	602
non_coding_86	region	90093	90094	2
non_coding_88	region	91398	91413	16
non_coding_90	region	92659	93166	508
non_coding_93	region	97085	97087	3
non_coding_94	region	98404	98403	0
non_coding_95	region	99648	100711	1064
non_coding_96	region	99645	100765	1121
non_coding_98	region	103154	103155	2
non_coding_100	region	105245	105305	61
non_coding_101	region	106457	106557	101
non_coding_102	region	107475	107705	231
non_coding_103	region	108218	108279	62
non_coding_104	region	110985	111044	60
non_coding_105	region	111434	111649	216
non_coding_106	region	111847	111856	10
non_coding_107	region	112600	112599	0
non_coding_108	region	113220	113244	25
non_coding_109	region	113289	113444	156
non_coding_110	region	114488	114522	35
non_coding_112	region	117100	117109	10
non_coding_113	region	117550	117752	203
non_coding_114	region	118646	118733	88
non_coding_116	region	120136	120178	43
non_coding_117	region	121552	122092	541
non_coding_118	region	122857	123017	161
non_coding_119	region	125681	125695	15
non_coding_120	region	127588	127912	325
non_coding_121	region	129337	129407	71
non_coding_122	region	131261	131615	355
non_coding_123	region	134213	134388	176
non_coding_124	region	134751	134788	38
non_coding_125	region	135583	135598	16
non_coding_126	region	136465	136570	106
non_coding_127	region	136918	137083	166
non_coding_128	region	138634	138835	202
non_coding_129	region	141226	141431	206
non_coding_130	region	141968	142008	41
non_coding_131	region	142671	142779	109
non_coding_133	region	144473	144577	105
non_coding_134	region	145018	145081	64
non_coding_135	region	146311	146314	4
non_coding_136	region	146695	146968	274
non_coding_137	region	147871	147944	74
non_coding_138	region	148796	148807	12
non_coding_139	region	149602	149715	114
non_coding_140	region	150954	151003	50
non_coding_141	region	151600	151626	27
non_coding_142	region	152232	152243	12
non_coding_143	region	152813	152829	17
non_coding_144	region	155427	155461	35
non_coding_145	region	156202	156299	98
non_coding_146	region	156884	157253	370
non_coding_148	region	159127	159186	60
non_coding_149	region	160113	160149	37
non_coding_150	region	160605	160782	178
non_coding_151	region	161487	161501	15
non_coding_152	region	162032	162105	74
non_coding_153	region	164535	164730	196
non_coding_154	region	167265	167484	220
non_coding_155	region	169728	169778	51
non_coding_156	region	170576	170575	0
non_coding_158	region	173445	173602	158
non_coding_159	region	174883	175048	166
