locus_tag	gene_name	start_site	end_site	gene_length
non_coding_0	region	1	189	189
b0001	thrL	190	255	66
b0002	thrA	337	2799	2463
b0003	thrB	2801	3733	933
b0004	thrC	3734	5020	1287
b0005	yaaX	5234	5530	297
b0006	yaaA	5683	6459	777
b0007	yaaJ	6529	7959	1431
b0008	talB	8238	9191	954
b0009	mog	9306	9893	588
b0010	satP	9928	10494	567
b0011	yaaW	10643	11356	714
b0012	mbiA	10830	11315	486
b0013	yaaI	11382	11786	405
b0014	dnaK	12163	14079	1917
b0015	dnaJ	14168	15298	1131
b0016	insL1	15445	16557	1113
b0018	mokC	16751	16960	210
b4412	hokC	16751	16903	153
b4413	sokC	16952	17010	59
b0019	nhaA	17489	18655	1167
b0020	nhaR	18715	19620	906
b0021	insB1	19811	20314	504
b0022	insA1	20233	20508	276
b0023	rpsT	20815	21078	264
b0024	yaaY	21181	21399	219
b0025	ribF	21407	22348	942
b0026	ileS	22391	25207	2817
b0027	lspA	25207	25701	495
b0028	fkpB	25826	26275	450
b0029	ispH	26277	27227	951
b0030	rihC	27293	28207	915
b0031	dapB	28374	29195	822
b0032	carA	29651	30799	1149
b0033	carB	30817	34038	3222
b0034	caiF	34300	34695	396
b0035	caiE	34781	35371	591
b0036	caiD	35377	36162	786
b0037	caiC	36271	37824	1554
b0038	caiB	37898	39115	1218
b0039	caiA	39244	40386	1143
b0040	caiT	40417	41931	1515
b0041	fixA	42403	43173	771
b0042	fixB	43188	44129	942
b0043	fixC	44180	45466	1287
b0044	fixX	45463	45750	288
b0045	yaaU	45807	47138	1332
b0046	kefF	47246	47776	531
b0047	kefC	47769	49631	1863
b0048	folA	49823	50302	480
b0049	apaH	50380	51222	843
b0050	apaG	51229	51606	378
b0051	rsmA	51609	52430	822
b0052	pdxA	52427	53416	990
b0053	surA	53416	54702	1287
b0054	lptD	54755	57109	2355
b0055	djlA	57364	58179	816
b0056	yabP	58474	59124	651
b0057	yabQ	59121	59279	159
b0058	rluA	59687	60346	660
b0059	rapA	60358	63264	2907
b0060	polB	63429	65780	2352
b0061	araD	65855	66550	696
b0062	araA	66835	68337	1503
b0063	araB	68348	70048	1701
b0064	araC	70387	71265	879
b0065	yabI	71351	72115	765
b0066	thiQ	72229	72927	699
b0067	thiP	72911	74521	1611
b0068	thiB	74497	75480	984
b4762	sroA	75516	75608	93
b0069	sgrR	75644	77299	1656
b4577	sgrS	77367	77593	227
b4662	sgrT	77388	77519	132
b0070	setA	77621	78799	1179
b0071	leuD	78848	79453	606
b0072	leuC	79464	80864	1401
b0073	leuB	80867	81958	1092
b0074	leuA	81958	83529	1572
